id,created_at,settled_at,description,message,amount,status,category,parent_category,tags,transfer_account_id,transaction_type,raw_text
eb440284-156a-4c89-a97b-5b05cf231015,2026-05-18T10:19:25+10:00,2026-05-18T10:19:25+10:00,Round Up,,0.29,SETTLED,,,,10c96e48-55c5-41d7-8fa1-2338d42a4352,Round Up,Round Up
f6793bb3-8d6e-419e-a87b-ca9a0b3aba88,2026-05-18T10:09:02+10:00,2026-05-18T10:09:02+10:00,Undo Forward from Igloo Tipping,,-0.08,SETTLED,,,,669a3cfe-8e07-4692-adf7-c1b6b0e5b612,Transfer,Undo Forward from Igloo Tipping
a2b77863-1f92-4bec-92f6-0aa3387e86c8,2026-05-18T10:08:53+10:00,2026-05-18T10:08:53+10:00,Undo Forward from Igloo Tipping,,-0.08,SETTLED,,,,669a3cfe-8e07-4692-adf7-c1b6b0e5b612,Transfer,Undo Forward from Igloo Tipping
9bc04939-9605-48ce-8320-b16d2c704901,2026-05-18T10:08:48+10:00,2026-05-18T10:08:48+10:00,Undo Forward from Igloo Tipping,,-0.01,SETTLED,,,,669a3cfe-8e07-4692-adf7-c1b6b0e5b612,Transfer,Undo Forward from Igloo Tipping
fe88ee03-b9d4-4017-a55d-300f8f481af1,2026-05-18T10:08:33+10:00,2026-05-18T10:08:33+10:00,Undo Forward from Fam Tipping,,-1.09,SETTLED,,,,cdb22db1-338c-4116-ae08-c5dba347560f,Transfer,Undo Forward from Fam Tipping
61d7d41a-d6a8-42e2-adce-b781225ad53c,2026-05-18T10:08:28+10:00,2026-05-18T10:08:28+10:00,Undo Forward from Fam Tipping,,-0.97,SETTLED,,,,cdb22db1-338c-4116-ae08-c5dba347560f,Transfer,Undo Forward from Fam Tipping
08490a28-c022-4ff6-848b-788559e1ec8f,2026-05-18T10:08:19+10:00,2026-05-18T10:08:19+10:00,Undo Forward from Fam Tipping,,-0.03,SETTLED,,,,cdb22db1-338c-4116-ae08-c5dba347560f,Transfer,Undo Forward from Fam Tipping
4ed393ef-82e1-4ade-8ca4-f29e56a334cc,2026-05-18T10:07:01+10:00,2026-05-18T10:07:01+10:00,Transfer to 2Up Spending,rent june 26,-1165.09,SETTLED,,,,ef3ae91c-ccd2-41d7-a88f-6517b0eb5537,Transfer,Transfer to 2Up Spending rent june 26
e18ffa9c-12d6-42ab-94c2-7df70ba37ddc,2026-05-18T10:06:26+10:00,2026-05-18T10:06:26+10:00,Transfer from Spending,,7900.00,SETTLED,,,,10c96e48-55c5-41d7-8fa1-2338d42a4352,Transfer,Transfer from Spending
7d8a7157-61c6-45df-a19c-f8e24fad607b,2026-05-17T15:20:01+10:00,2026-05-17T15:20:01+10:00,Round Up,,0.81,SETTLED,,,,10c96e48-55c5-41d7-8fa1-2338d42a4352,Round Up,Round Up
