"Symbol","TransactionMtmPnl","PriorOpenMtmPnl","Commissions","Total"
"AAPL","1.156764674","5321.996387238","-8.51486285","5368.251318062"
"AMD","0","3970.528066","0","3970.528066"
"AMZN","-0.704717327","412.465024318","-5.276341537","406.483965454"
"BRK B","0.249568242","-206.645350578","-12.218854268","-218.614636604"
"COST","-0.300254583","25.795156309","-2.754998273","24.477917453"
"GOOG","-0.658027259","15421.050333091","-7.850959878","15460.531929955"
"KO","-0.138374579","140.948410697","-0.027565992","168.324227126"
"MSFT","-0.236195734","-107.965555247","-5.529140834","-104.897123815"
"NVDA","-1.718638255","1895.242504964","-9.775050477","1884.464455233"
"QQQM","-0.393029954","763.576496783","-6.556070914","767.171438916"
"VTI","2.822363321","5240.38967147","-41.007806614","5436.319344177"
"VXUS","0.072575817","1590.309012838","-40.434546498","1734.248328158"
"WM","0.219876733","-44.076411645","-0.017330647","-26.457254559"
"AUD","0","0","0","0"
"USD","-7.083306","-9207.19447512","0","-9214.27778112"
"","0","0","0","25656.554194435"
"CurrencyPrimary","Symbol","Quantity","CostBasisPrice","CostBasisMoney","MarkPrice","PositionValue"
"USD","AAPL","41.9335","160.514887787","6730.951047","300.23","12589.69"
"USD","AMD","8.9489","110.65989183","990.284306","424.1","3795.23"
"USD","AMZN","5.3293","204.034013473","1087.358468","264.14","1407.68"
"USD","BRK B","7.1211","421.855366587","3004.074251","482.7","3437.35"
"USD","COST","0.3361","992.840309432","333.693628","1048.95","352.55"
"USD","GOOG","46.4207","126.476443828","5871.125056","393.32","18258.19"
"USD","KO","10.6809","61.784725725","659.916477","80.82","863.23"
"USD","MSFT","2.6293","432.707789526","1137.718591","421.92","1109.35"
"USD","NVDA","16.3609","103.928945596","1700.371086","225.32","3686.44"
"USD","QQQM","7.4664","211.52415622","1579.32396","291.89","2179.37"
"USD","VTI","53.6007","260.712611757","13974.378489","362.74","19443.12"
"USD","VXUS","82.668","66.722107309","5515.783167","83.11","6870.54"
"USD","WM","4.0015","174.998595027","700.256878","219.82","879.61"
"CurrencyPrimary","Symbol","TradeDate","Quantity","TradePrice","OrigTradePrice","Buy/Sell"
"USD","AAPL","20250516","0.041","211.89","0","BUY"
"USD","AAPL","20250516","0.1183","211.150667","0","BUY"
"USD","AAPL","20250530","0.1256","198.955449","0","BUY"
"USD","AAPL","20250613","0.1268","197.159576","0","BUY"
"USD","AAPL","20250627","0.1239","201.702769","0","BUY"
"USD","AAPL","20250711","0.1185","210.954479","0","BUY"
"USD","AAPL","20250725","0.1166","214.340115","0","BUY"
"USD","AAPL","20250808","0.1118","223.491818","0","BUY"
"USD","AAPL","20250815","0.0381","233.43","0","BUY"
"USD","AAPL","20250822","0.1097","227.756976","0","BUY"
"USD","AAPL","20250905","0.1043","239.485556","0","BUY"
"USD","AAPL","20250919","0.1027","243.20875","0","BUY"
"USD","AAPL","20251003","0.0427","257.261743","0","BUY"
"USD","AAPL","20251017","0.0441","249.348925","0","BUY"
"USD","AAPL","20251031","0.0404","271.936022","0","BUY"
"USD","AAPL","20251114","0.0332","270.78","0","BUY"
"USD","AAPL","20251114","0.0402","273.088462","0","BUY"
"USD","AAPL","20251128","0.0397","276.510169","0","BUY"
"USD","AAPL","20251212","0.0394","278.500885","0","BUY"
"USD","AAPL","20251226","0.04","274.624171","0","BUY"
"USD","AAPL","20260109","0.0426","258.207911","0","BUY"
"USD","AAPL","20260123","0.0444","247.309306","0","BUY"
"USD","AAPL","20260206","0.0394","278.700635","0","BUY"
"USD","AAPL","20260213","0.0347","261.24","0","BUY"
"USD","AAPL","20260226","0.1282","272.844468","0","BUY"
"USD","AAPL","20260312","0.1368","255.80254","0","BUY"
"USD","AAPL","20260326","0.1375","254.361897","0","BUY"
"USD","AAPL","20260409","0.1353","258.582206","0","BUY"
"USD","AAPL","20260423","0.128","273.433831","0","BUY"
"USD","AAPL","20260507","0.1207","289.938475","0","BUY"
"USD","AAPL","20260515","0.0322","298.21","0","BUY"
"USD","AMZN","20250520","0.1224","204.084667","0","BUY"
"USD","AMZN","20250603","0.1206","207.164769","0","BUY"
"USD","AMZN","20250617","0.1156","216.232499","0","BUY"
"USD","AMZN","20250701","0.1138","219.665833","0","BUY"
"USD","AMZN","20250715","0.1103","226.628776","0","BUY"
"USD","AMZN","20250729","0.1078","231.898806","0","BUY"
"USD","AMZN","20250812","0.1128","221.526522","0","BUY"
"USD","AMZN","20250826","0.1097","227.793222","0","BUY"
"USD","AMZN","20250909","0.1057","236.47","0","BUY"
"USD","AMZN","20250923","0.1111","224.851817","0","BUY"
"USD","AMZN","20260227","0.0817","207.94034","0","BUY"
"USD","AMZN","20260313","0.0814","208.604893","0","BUY"
"USD","AMZN","20260327","0.0843","201.643112","0","BUY"
"USD","AMZN","20260410","0.0713","238.152707","0","BUY"
"USD","AMZN","20260424","0.065","261.25693","0","BUY"
"USD","AMZN","20260508","0.0624","272.325714","0","BUY"
"USD","BRK B","20250519","0.0586","511.937704","0","BUY"
"USD","BRK B","20250527","0.059","507.658782","0","BUY"
"USD","BRK B","20250602","0.0598","500.930032","0","BUY"
"USD","BRK B","20250609","0.0609","492.171752","0","BUY"
"USD","BRK B","20250616","0.0611","490.376743","0","BUY"
"USD","BRK B","20250623","0.0618","485.206828","0","BUY"
"USD","BRK B","20250630","0.0618","485.423229","0","BUY"
"USD","BRK B","20250707","0.0623","481.264589","0","BUY"
"USD","BRK B","20250714","0.0629","476.329427","0","BUY"
"USD","BRK B","20250721","0.0631","474.77","0","BUY"
"USD","BRK B","20250728","0.062","483.778079","0","BUY"
"USD","BRK B","20250804","0.0651","460.281033","0","BUY"
"USD","BRK B","20250811","0.0645","465.009871","0","BUY"
"USD","BRK B","20250819","0.0619","484.002037","0","BUY"
"USD","BRK B","20250825","0.0619","484.534557","0","BUY"
"USD","BRK B","20250902","0.0598","501.23738","0","BUY"
"USD","BRK B","20250908","0.0604","496.506567","0","BUY"
"USD","BRK B","20250915","0.061","491.386869","0","BUY"
"USD","BRK B","20250922","0.0609","492.155385","0","BUY"
"USD","BRK B","20260217","0.0377","503.12012","0","BUY"
"USD","BRK B","20260224","0.0385","492.356721","0","BUY"
"USD","BRK B","20260303","0.0397","478.557647","0","BUY"
"USD","BRK B","20260310","0.0383","495.707958","0","BUY"
"USD","BRK B","20260317","0.0385","492.952323","0","BUY"
"USD","BRK B","20260324","0.0394","481.229231","0","BUY"
"USD","BRK B","20260331","0.0398","477.125946","0","BUY"
"USD","BRK B","20260407","0.0398","477.282566","0","BUY"
