Trade Date,Settlement Date,Action,Reference,Code,Name,Units,Average Price,Consideration,Brokerage,Total
2026-04-20 00:00:00,2026-04-20 00:00:00,In,41560451,A200,BETAAUSTRALIA200ETF,1,,,,
2025-12-17 00:00:00,2025-12-17 00:00:00,In,36059496,MQG,MACQUARIE GROUP LTD,1,,,,
2025-10-16 00:00:00,2025-10-16 00:00:00,In,32909538,A200,BETAAUSTRALIA200ETF,1,,,,
2025-07-16 00:00:00,2025-07-16 00:00:00,In,28391916,VGS,VNGD INTL SHARES,1,,,,
2025-07-16 00:00:00,2025-07-16 00:00:00,In,28409621,NDQ,BETASHARESNASDAQ100,4,,,,
2025-07-16 00:00:00,2025-07-16 00:00:00,In,28403124,A200,BETAAUSTRALIA200ETF,1,,,,
2025-07-02 00:00:00,2025-07-02 00:00:00,In,27848746,MQG,MACQUARIE GROUP LTD,1,,,,
2025-04-16 00:00:00,2025-04-16 00:00:00,In,25196357,VGS,VNGD INTL SHARES,1,,,,
2025-01-17 00:00:00,2025-01-17 00:00:00,In,22197257,NDQ,BETASHARESNASDAQ100,1,,,,
2025-01-17 00:00:00,2025-01-17 00:00:00,In,22193048,A200,BETAAUSTRALIA200ETF,1,,,,
2024-07-16 00:00:00,2024-07-16 00:00:00,In,16310127,VGS,VNGD INTL SHARES,2,,,,
2024-07-16 00:00:00,2024-07-16 00:00:00,In,16334917,NDQ,BETASHARESNASDAQ100,9,,,,
2024-07-16 00:00:00,2024-07-16 00:00:00,In,16325437,A200,BETAAUSTRALIA200ETF,1,,,,
2024-07-02 00:00:00,2024-07-02 00:00:00,In,15887877,MQG,MACQUARIE GROUP LTD,1,,,,
2024-01-17 00:00:00,2024-01-17 00:00:00,In,10915619,A200,BETAAUSTRALIA200ETF,1,,,,
2024-01-17 00:00:00,2024-01-17 00:00:00,In,10904470,VGS,VNGD INTL SHARES,1,,,,
2023-12-19 00:00:00,2023-12-19 00:00:00,In,10276101,MQG,MACQUARIE GROUP LTD,1,,,,
2023-11-22 00:00:00,2023-11-22 00:00:00,Out,9534232,ZIP,ZIP CO LTD..,520,,,,
2023-10-17 00:00:00,2023-10-17 00:00:00,In,8451489,A200,BETAAUSTRALIA200ETF,1,,,,
2023-07-18 00:00:00,2023-07-18 00:00:00,In,6093136,NDQ,BETASHARESNASDAQ100,10,,,,
2023-07-18 00:00:00,2023-07-18 00:00:00,In,6067225,VGS,VNGD INTL SHARES,1,,,,
2023-07-04 00:00:00,2023-07-04 00:00:00,In,5700163,MQG,MACQUARIE GROUP LTD,1,,,,
2023-04-20 00:00:00,2023-04-20 00:00:00,In,CE34810109,A200,BETAAUSTRALIA200ETF,1,,,,
2023-01-18 00:00:00,2023-01-18 00:00:00,In,CE31356746,NDQ,BETASHARESNASDAQ100,1,,,,
2023-01-18 00:00:00,2023-01-18 00:00:00,In,CE31323470,A200,BETAAUSTRALIA200ETF,1,,,,
2022-10-18 00:00:00,2022-10-18 00:00:00,In,CE27635230,A200,BETAAUSTRALIA200ETF,1,,,,
2022-07-25 00:00:00,2022-07-27 00:00:00,Buy,T2313593,VTS,VNGD US TOTAL MARKET,6,285.980000,1715.8800,9.50,1725.38
2022-07-18 00:00:00,2022-07-18 00:00:00,In,CE23838298,NDQ,BETASHARESNASDAQ100,14,,,,
2022-07-18 00:00:00,2022-07-18 00:00:00,In,CE23746333,VGS,VNGD INTL SHARES,1,,,,
2022-07-18 00:00:00,2022-07-18 00:00:00,In,CE23797012,A200,BETAAUSTRALIA200ETF,2,,,,
2022-07-04 00:00:00,2022-07-04 00:00:00,In,CE23225653,MQG,MACQUARIE GROUP LTD,1,,,,
2022-04-21 00:00:00,2022-04-21 00:00:00,In,CE19420927,ZIP,ZIP CO LTD..,520,,,,
2022-04-20 00:00:00,2022-04-20 00:00:00,Out,CE19402962,Z1P,ZIP CO LTD.,520,,,,
2022-03-04 00:00:00,2022-03-08 00:00:00,Buy,T1501268,VTS,VNGD US TOTAL MARKET,8,297.970000,2383.7600,9.50,2393.26
2022-01-20 00:00:00,2022-01-24 00:00:00,Buy,T1181662,MQG,MACQUARIE GROUP LTD,10,196.920000,1969.2000,9.50,1978.70
2022-01-19 00:00:00,2022-01-19 00:00:00,In,CE13721087,A200,BETAAUSTRALIA200ETF,1,,,,
2021-10-18 00:00:00,2021-10-18 00:00:00,In,CE6813058,VGS,VNGD INTL SHARES,1,,,,
2021-10-18 00:00:00,2021-10-18 00:00:00,In,CE6858790,A200,BETAAUSTRALIA200ETF,1,,,,
2021-09-22 00:00:00,2021-09-24 00:00:00,Buy,T313418,VGS,VNGD INTL SHARES,20,100.890000,2017.8000,9.50,2027.30
2021-09-22 00:00:00,2021-09-24 00:00:00,Buy,T313407,MQG,MACQUARIE GROUP LTD,11,171.600000,1887.6000,9.50,1897.10
2021-07-16 00:00:00,2021-07-16 00:00:00,In,CE20210716757250-1,NDQ,BETASHARESNASDAQ100,16,,,,
2021-06-23 00:00:00,2021-06-25 00:00:00,Buy,T20210623303357-1,A200,BETAAUSTRALIA200ETF,20,123.830000,2476.6000,9.50,2486.10
2021-02-17 00:00:00,2021-02-19 00:00:00,Buy,T20210217126253-1,Z1P,ZIP CO LTD.,119,11.980000,1425.6200,9.50,1435.12
2021-01-08 00:00:00,2021-01-12 00:00:00,Buy,T20210108682709-1,A200,BETAAUSTRALIA200ETF,14,112.750000,1578.5000,9.50,1588.00
2021-01-08 00:00:00,2021-01-12 00:00:00,Buy,T20210108682702-1,MQG,MACQUARIE GROUP LTD,10,140.310000,1403.1000,9.50,1412.60
2020-09-04 00:00:00,2020-09-08 00:00:00,Buy,T20200904629108-1,NDQ,BETASHARESNASDAQ100,84,26.630000,2236.9200,,2236.92
2020-09-01 00:00:00,2020-09-03 00:00:00,Buy,T20200901583008-1,Z1P,ZIP CO LTD.,112,8.500000,952.0000,,952.00
2020-08-21 00:00:00,2020-08-25 00:00:00,Buy,T20200821483611-1,NDQ,BETASHARESNASDAQ100,228,26.480000,6037.4400,9.50,6046.94
2020-07-16 00:00:00,2020-07-16 00:00:00,In,CE20200716478367-1,NDQ,BETASHARESNASDAQ100,2,,,,
2020-06-10 00:00:00,2020-06-12 00:00:00,Buy,T20200610936191-1,Z1P,ZIP CO LTD.,289,6.580000,1901.6200,,1901.62
2020-06-09 00:00:00,2020-06-11 00:00:00,Buy,T20200609919362-1,NDQ,BETASHARESNASDAQ100,98,23.920000,2344.1600,,2344.16
2020-06-09 00:00:00,2020-06-11 00:00:00,Buy,T20200609919354-1,VGS,VNGD INTL SHARES,48,78.800000,3782.4000,,3782.40
2020-06-09 00:00:00,2020-06-11 00:00:00,Buy,T20200609918215-1,MQG,MACQUARIE GROUP LTD,9,122.790000,1105.1100,,1105.11
2020-06-09 00:00:00,2020-06-11 00:00:00,Buy,T20200609918170-1,A200,BETAAUSTRALIA200ETF,10,103.900000,1039.0000,,1039.00
2020-05-26 00:00:00,2020-05-28 00:00:00,Buy,T20200526817304-1,A200,BETAAUSTRALIA200ETF,15,96.400000,1446.0000,9.50,1455.50
2020-05-26 00:00:00,2020-05-28 00:00:00,Sell,T20200526817289-1,BBOZ,BETA AUST STR BEAR,92,9.760000,897.9200,9.50,888.42
2020-03-27 00:00:00,2020-03-31 00:00:00,Buy,T20200327447251-1,BBOZ,BETA AUST STR BEAR,92,15.460000,1422.3200,9.50,1431.82
